fecha;high;low
2025-12-10;19,6;7,9
2025-12-11;19,7;7,9
2025-12-12;18,9;8,3
2025-12-13;19,8;6,7
2025-12-14;20,1;7,5
2025-12-15;21,4;8,3
2025-12-16;21,3;10,9
2025-12-17;20,9;10,7
2025-12-18;22,1;10,4
2025-12-19;21,8;10,0
2025-12-20;20,9;10,0
2025-12-21;20,5;10,5
2025-12-22;22,1;9,4
2025-12-23;21,5;10,3
2025-12-24;20,4;11,0
2025-12-25;20,3;10,7
2025-12-26;21,0;10,0
2025-12-27;20,7;10,1
2025-12-28;19,8;6,0
2025-12-29;20,0;8,5
2025-12-30;19,8;11,3
2025-12-31;20,8;10,6
