fecha,high,low,url_origen
2024-07-14,20,10,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-15,18,9,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-16,18,7,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-17,19,7,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-18,19,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-19,18,7,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-20,19,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-21,19,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-22,19,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-23,18,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-24,17,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-25,19,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-26,19,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-27,18,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-28,17,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-29,17,9,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-07-30,18,8,https://www.accuweather.com/es/co/bogota/107487/july-weather/107487?year=2024
2024-08-01,21,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-02,31,12,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-03,19,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-04,20,9,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-05,20,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-06,20,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-07,17,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-08,19,11,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-09,21,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-10,20,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-11,20,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-12,21,11,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-13,20,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-14,20,10,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-15,18,9,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-16,18,7,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-17,19,7,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-18,19,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-19,18,7,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-20,19,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-21,19,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-22,19,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-23,18,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-24,17,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-25,19,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-26,19,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-27,18,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-28,17,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-29,17,9,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-08-30,18,8,https://www.accuweather.com/es/co/bogota/107487/august-weather/107487?year=2024
2024-09-01,21,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-02,31,12,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-03,19,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-04,20,9,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-05,20,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-06,20,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-07,17,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-08,19,11,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-09,21,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-10,20,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-11,20,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-12,21,11,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-13,20,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-14,20,10,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-15,18,9,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-16,18,7,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-17,19,7,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-18,19,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-19,18,7,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-20,19,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-21,19,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-22,19,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-23,18,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-24,17,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-25,19,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-26,19,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-27,18,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-28,17,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-29,17,9,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-09-30,18,8,https://www.accuweather.com/es/co/bogota/107487/september-weather/107487?year=2024
2024-10-01,21,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-02,31,12,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-03,19,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-04,20,9,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-05,20,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-06,20,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-07,17,8,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-08,19,11,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-09,21,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-10,20,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-11,20,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-12,21,11,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
2024-10-13,20,10,https://www.accuweather.com/es/co/bogota/107487/october-weather/107487?year=2024
